시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,새누리당,더불어민주당,국민의당,정의당,기독자유당,민주당,코리아,일제·위안부·인권정당,개혁국민신당,고용복지연금선진화연대,공화당,불교당,기독당,노동당,녹색당,민중연합당,복지국가당,친반통일당,통일한국당,한국국민당,한나라당,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,1944,952,472,146,165,65,31,5,1,1,0,0,1,1,11,0,12,2,0,0,1,0,5,919,33,992
경기,고양시을,2421,신도동,,14555,8694,2675,1996,2323,1021,238,43,3,9,2,0,0,11,45,25,66,32,2,3,4,4,14,8516,178,5861
경기,고양시을,2421,창릉동,4128158000,9119,5537,1785,1296,1467,582,137,33,2,2,1,0,1,5,28,8,48,23,2,1,2,0,7,5430,107,3582
경기,고양시을,2421,능곡동,4139064000,15678,8744,2942,1965,2148,831,263,49,4,8,5,1,4,3,41,37,107,77,2,0,2,4,22,8515,229,6934
경기,고양시을,2421,행주동,4128163000,17885,8594,2897,1980,2073,702,341,55,3,5,1,1,1,5,58,33,72,86,5,0,3,3,21,8345,249,9291
경기,고양시을,2421,행신1동,4128164000,18932,11737,3303,3159,3061,1229,377,62,10,12,7,4,2,6,68,41,106,77,4,0,0,2,11,11541,196,7195
경기,고양시을,2421,행신2동,4128165000,27422,17192,4758,4781,4309,1975,331,71,7,9,9,4,8,7,90,53,173,210,4,1,7,3,31,16841,351,10230
경기,고양시을,2421,행신3동,4128165500,37996,23338,6353,6314,5951,2881,584,86,12,16,6,6,10,17,151,82,230,152,12,5,6,7,22,22903,435,14658
경기,고양시을,2421,행신4동,4128165600,17617,10821,2946,2927,2759,1336,271,40,6,7,3,3,5,8,70,38,107,70,6,2,3,3,10,10619,202,6796
경기,고양시을,2421,화전동,4128166000,4764,2344,920,482,499,140,86,21,3,1,0,0,1,1,27,6,16,7,2,0,1,3,14,2230,114,2420
경기,고양시을,2421,대덕동,4128167000,3403,1796,738,327,465,108,62,8,2,2,1,0,1,1,16,4,7,6,0,0,0,1,10,1759,37,1607
경기,부천시을,2422,약대동,4119261000,14786,8262,2331,2166,2524,590,205,40,5,4,2,5,4,8,44,22,49,51,3,0,3,3,17,8076,186,6524
경기,부천시을,2422,중동,4119262000,20083,11054,3317,2826,3295,754,262,68,9,10,2,3,3,8,46,23,77,73,8,0,2,5,30,10821,233,9029
경기,부천시을,2422,중1동,4119263000,27744,16423,4385,4620,5072,1306,315,61,12,14,9,6,4,6,64,33,131,120,6,1,4,2,22,16193,230,11321
경기,부천시을,2422,중2동,4119264000,25323,14787,4512,3689,4556,1055,318,51,3,9,5,4,3,10,75,30,129,94,8,0,5,3,20,14579,208,10536
경기,부천시을,2422,중3동,4119265000,20322,11978,3429,3254,3598,889,222,59,7,9,3,4,1,3,54,20,95,78,9,6,7,1,24,11772,206,8344
경기,부천시을,2422,중4동,4119266000,16954,10364,2857,2912,2983,821,237,56,2,8,3,1,0,5,64,26,87,80,4,1,1,4,16,10168,196,6590
경기,부천시을,2422,상동,4119267000,16836,9546,2921,2283,2815,737,257,37,7,3,5,2,2,8,43,19,90,66,4,1,2,1,16,9319,227,7290
경기,부천시을,2422,상1동,4119268000,20348,12879,3089,3787,3981,1194,236,43,6,4,6,5,4,1,48,34,105,119,5,0,3,0,17,12687,192,7469
경기,부천시을,2422,상2동,4119269000,22875,14622,3446,4147,4659,1472,258,66,7,6,2,7,6,9,55,25,143,104,8,2,3,3,23,14451,171,8253
경기,부천시을,2422,상3동,4119270000,24474,15635,4156,4281,5007,1249,280,76,7,10,5,0,1,8,64,31,119,101,3,0,1,1,21,15421,214,8839
경기,수원시을,2423,율천동,4111156600,34018,21516,5227,6628,6019,1998,498,101,13,18,10,7,6,6,98,71,155,219,6,3,9,6,18,21116,400,12502
경기,수원시을,2423,평동,4111355000,28699,15006,4979,4122,3739,848,395,99,8,14,5,9,6,17,99,28,84,128,13,2,11,5,38,14649,357,13693
경기,수원시을,2423,서둔동,4111356000,32943,15924,5158,4436,3910,946,450,121,7,17,9,13,9,16,113,38,66,143,8,2,18,10,32,15522,402,17019
경기,수원시을,2423,구운동,4111365000,22031,12036,3806,3374,3044,802,302,74,6,11,0,3,2,14,63,29,67,119,6,0,11,4,25,11762,274,9995
경기,수원시을,2423,금곡동,4111366200,26094,15982,4486,4593,4384,1162,401,97,4,8,7,4,3,10,94,30,123,238,15,3,11,7,20,15700,282,10112
경기,수원시을,2423,호매실동,4111366400,20858,12182,3183,3763,3314,899,337,64,7,7,6,3,0,10,78,28,87,138,8,1,6,3,16,11958,224,8676
경기,수원시을,2423,입북동,4111370000,13063,8241,2276,2405,2292,698,175,47,6,3,3,0,2,1,56,17,45,55,3,0,1,3,7,8095,146,4822
경기,평택시을,2424,팽성읍,4122025000,24204,11218,5159,2159,2334,441,326,71,9,8,7,4,4,18,60,25,39,81,3,2,5,7,39,10801,417,12986
경기,평택시을,2424,안중읍,4122025300,28222,14716,4220,3491,4288,1218,419,118,11,8,8,9,9,10,100,67,60,275,13,1,8,7,29,14369,347,13506
