시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,1888,1227,344,385,314,98,72,0,0,3,2,1,0,1,2,1222,5,661
경기,고양시을,2421,신도동,,15678,12430,5225,2602,2700,765,1053,17,1,6,5,9,2,3,7,12395,35,3248
경기,고양시을,2421,창릉동,4128158000,9310,7390,3125,1602,1588,482,544,16,0,2,7,1,1,2,5,7375,15,1920
경기,고양시을,2421,능곡동,4139064000,15161,11087,4241,2580,2530,734,918,20,3,3,5,12,2,5,6,11059,28,4074
경기,고양시을,2421,행주동,4128163000,16319,10837,4145,2458,2518,679,944,22,0,7,2,11,6,8,11,10811,26,5482
경기,고양시을,2421,행신1동,4128164000,17909,14446,6373,2525,3211,986,1244,25,0,6,2,11,2,2,8,14395,51,3463
경기,고양시을,2421,행신2동,4128165000,26441,21455,9859,3679,4380,1509,1884,27,5,7,8,17,2,11,15,21403,52,4986
경기,고양시을,2421,행신3동,4128165500,35423,27876,12526,4833,5903,1874,2570,33,3,13,8,25,3,7,10,27808,68,7547
경기,고양시을,2421,화전동,4128166000,4596,3125,1042,855,749,231,210,3,0,3,1,4,1,3,9,3111,14,1471
경기,고양시을,2421,대덕동,4128167000,2377,1657,536,471,416,120,100,2,0,0,0,3,0,0,2,1650,7,720
경기,부천시을,2422,약대동,4119261000,15124,11728,5088,2134,2809,818,795,16,0,8,5,8,2,6,7,11696,32,3396
경기,부천시을,2422,중동,4119262000,18210,13602,5855,2681,3177,891,886,18,1,14,5,5,4,8,14,13559,43,4608
경기,부천시을,2422,중1동,4119263000,26480,20811,9628,3560,4783,1363,1350,22,0,14,2,23,4,7,12,20768,43,5669
경기,부천시을,2422,중2동,4119264000,22788,17931,7289,3835,4393,1230,1069,21,3,9,4,12,2,7,9,17883,48,4857
경기,부천시을,2422,중3동,4119265000,19988,15843,7018,2977,3689,1044,1021,17,1,4,6,8,3,5,10,15803,40,4145
경기,부천시을,2422,중4동,4119266000,16484,13413,6234,2328,2914,909,936,9,3,6,5,10,3,4,7,13368,45,3071
경기,부천시을,2422,상동,4119267000,16649,12728,5330,2619,2966,830,880,20,1,7,7,8,5,4,6,12683,45,3921
경기,부천시을,2422,상1동,4119268000,19659,16292,8078,2468,3488,1093,1055,24,1,8,6,2,2,7,3,16235,57,3367
경기,부천시을,2422,상2동,4119269000,21454,17706,8634,2617,3946,1275,1148,21,1,5,1,8,3,2,5,17666,40,3748
경기,부천시을,2422,상3동,4119270000,23795,19929,9033,3397,4588,1561,1240,28,1,6,4,8,4,2,13,19885,44,3866
경기,수원시을,2423,율천동,4111156600,32202,26533,11935,4177,5859,2289,2068,29,3,12,3,20,3,8,15,26421,112,5669
경기,수원시을,2423,평동,4111355000,27203,19868,7798,4410,4783,1311,1407,22,1,18,9,16,3,9,20,19807,61,7335
경기,수원시을,2423,서둔동,4111356000,30539,21348,8482,4603,5111,1371,1561,33,5,37,5,19,7,13,20,21267,81,9191
경기,수원시을,2423,구운동,4111365000,20570,15401,6411,3296,3617,923,1027,16,3,8,3,10,6,9,12,15341,60,5169
경기,수원시을,2423,금곡동,4111366200,25359,20441,9241,3798,4520,1379,1360,28,0,9,3,41,1,7,6,20393,48,4918
경기,수원시을,2423,호매실동,4111366400,21268,16674,7743,2703,3788,1149,1164,10,0,13,3,25,5,3,8,16614,60,4594
경기,수원시을,2423,입북동,4111370000,12517,10228,4583,1744,2349,743,741,15,1,9,1,5,0,1,11,10203,25,2289
경기,평택시을,2424,팽성읍,4122025000,23153,14395,4518,4688,3301,942,790,23,1,20,4,14,12,7,20,14340,55,8758
경기,평택시을,2424,안중읍,4122025300,28563,20608,8787,3863,4566,1344,1871,15,3,11,2,38,7,9,23,20539,69,7955
경기,평택시을,2424,포승읍,4122025600,18526,11800,4596,2701,2767,776,825,17,0,14,2,25,9,6,9,11747,53,6726
경기,평택시을,2424,청북읍,4122025900,16496,11759,4974,2266,2711,858,855,14,5,7,1,13,2,3,6,11715,44,4737
경기,평택시을,2424,고덕면,4122033000,8142,5420,1828,1512,1323,346,361,5,2,6,3,8,2,0,4,5400,20,2722
경기,평택시을,2424,오성면,4122034000,5992,4170,1232,1341,1036,246,270,3,0,3,3,7,3,3,5,4152,18,1822
경기,평택시을,2424,현덕면,4122037000,4945,3362,951,1211,771,195,192,5,1,4,4,2,3,3,5,3347,15,1583
경기,화성시을,2425,동탄4동,4159058800,46428,39382,20849,4536,8498,2974,2390,28,4,14,3,7,4,13,11,39331,51,7046
경기,화성시을,2425,동탄면,,7051,5618,2821,890,1163,375,341,3,1,2,2,3,3,0,6,5610,8,1433
