시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 이재명,자유한국당 남경필,바른미래당 김영환,정의당 이홍우,민중당 홍성규,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,1967,932,405,420,52,27,9,913,19,1035
경기,고양시을,2421,신도동,,15321,8741,4655,3083,459,379,50,8626,115,6580
경기,고양시을,2421,창릉동,4128158000,10333,6145,3386,2074,290,257,28,6035,110,4188
경기,고양시을,2421,능곡동,4139064000,14922,8009,4232,2960,357,256,62,7867,142,6913
경기,고양시을,2421,행주동,4128163000,17308,7886,4149,2846,389,249,69,7702,184,9422
경기,고양시을,2421,행신1동,4128164000,18376,11093,6248,3590,553,410,71,10872,221,7283
경기,고양시을,2421,행신2동,4128165000,26709,16198,9259,5238,712,614,110,15933,265,10511
경기,고양시을,2421,행신3동,4128165500,37060,21752,12412,6814,1014,994,111,21345,407,15308
경기,고양시을,2421,화전동,4128166000,4679,2269,1164,866,104,70,29,2233,36,2410
경기,고양시을,2421,대덕동,4128167000,2039,1006,448,450,45,31,11,985,21,1033
경기,부천시을,2422,약대동,4119261000,15443,8380,4803,2660,480,210,67,8220,160,7063
경기,부천시을,2422,중동,4119262000,18736,9819,5392,3351,561,285,61,9650,169,8917
경기,부천시을,2422,중1동,4119263000,27817,15234,8746,4805,904,429,93,14977,257,12583
경기,부천시을,2422,중2동,4119264000,24434,13508,6895,5110,875,350,83,13313,195,10926
경기,부천시을,2422,중3동,4119265000,19600,11199,6284,3683,657,306,82,11012,187,8401
경기,부천시을,2422,중4동,4119266000,16579,10036,5761,3196,512,294,87,9850,186,6543
경기,부천시을,2422,상동,4119267000,16305,8698,4516,3187,519,252,61,8535,163,7607
경기,부천시을,2422,상1동,4119268000,19245,11595,6947,3387,635,347,56,11372,223,7650
경기,부천시을,2422,상2동,4119269000,21878,13478,7862,4066,824,427,85,13264,214,8400
경기,부천시을,2422,상3동,4119270000,24179,14897,8280,4919,958,453,83,14693,204,9282
경기,수원시을,2423,율천동,4111156600,34766,21186,12036,6848,1081,676,134,20775,411,13580
경기,수원시을,2423,평동,4111355000,31511,16374,8716,6258,695,371,104,16144,230,15137
경기,수원시을,2423,서둔동,4111356000,31912,15605,8429,5832,580,361,127,15329,276,16307
경기,수원시을,2423,구운동,4111365000,20955,11469,5951,4465,501,272,70,11259,210,9486
경기,수원시을,2423,금곡동,4111366200,32779,20265,11655,6666,978,441,255,19995,270,12514
경기,수원시을,2423,호매실동,4111366400,25877,14920,9179,4469,601,358,100,14707,213,10957
경기,수원시을,2423,입북동,4111370000,12941,8124,4795,2530,399,211,91,8026,98,4817
경기,평택시을,2424,팽성읍,4122025000,23905,10764,4774,4725,623,180,112,10414,350,13141
경기,평택시을,2424,안중읍,4122025300,31125,16607,9636,5313,760,396,175,16280,327,14518
경기,평택시을,2424,포승읍,4122025600,19413,8521,4796,2895,363,182,106,8342,179,10892
경기,평택시을,2424,청북읍,4122025900,17334,8778,5360,2671,358,176,72,8637,141,8556
경기,평택시을,2424,고덕면,4122033000,8140,3881,1874,1629,171,70,45,3789,92,4259
경기,평택시을,2424,오성면,4122034000,5943,3050,1311,1400,151,55,37,2954,96,2893
경기,평택시을,2424,현덕면,4122037000,5018,2877,1093,1487,137,51,22,2790,87,2141
경기,화성시을,2425,동탄4동,4159058800,35063,23059,14282,6608,1243,592,142,22867,192,12004
경기,화성시을,2425,동탄6동,4159060000,33129,18453,11620,5172,976,426,94,18288,165,14676
