시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 박원순,자유한국당 김문수,바른미래당 안철수,정의당 김종민,민중당 김진숙,대한애국당 인지연,녹색당 신지예,우리미래 우인철,친박연대 최태현,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,30289,19787,11265,3884,3664,358,85,37,302,49,8,19652,135,10502
서울,강서구병,2411,등촌제1동,1150052000,18743,10762,6037,2217,1886,233,73,13,181,22,5,10667,95,7981
서울,강서구병,2411,등촌제2동,1150053000,17524,10371,5431,2455,1970,173,41,28,161,20,8,10287,84,7153
서울,강서구병,2411,화곡제4동,1150057000,18704,9438,5382,2019,1533,154,48,22,144,28,11,9341,97,9266
서울,강서구병,2411,화곡본동,1150059000,28137,14161,8237,2775,2290,320,98,44,213,24,8,14009,152,13976
서울,강서구병,2411,화곡제6동,1150059100,20396,11444,5761,2966,2110,225,60,33,150,18,7,11330,114,8952
서울,강서구병,2411,가양제3동,1150060500,14117,8399,4603,1935,1407,137,39,26,93,15,9,8264,135,5718
서울,관악구을,2412,신사동,1162068500,20276,10363,5915,1974,1862,170,62,23,203,28,9,10246,117,9913
서울,관악구을,2412,조원동,1162072500,15638,8144,4372,1695,1573,133,38,28,154,18,9,8020,124,7494
서울,관악구을,2412,미성동,1162076500,26677,14945,7931,3439,2805,201,77,33,211,27,19,14743,202,11732
서울,관악구을,2412,난곡동,1162077500,23975,12649,6930,2583,2414,198,70,38,162,35,15,12445,204,11326
서울,관악구을,2412,난향동,1162071500,12943,7743,4342,1507,1552,111,49,13,79,7,4,7664,79,5200
서울,관악구을,2412,서원동,1162064500,19913,10242,5914,1822,1818,189,84,24,214,24,9,10098,144,9671
서울,관악구을,2412,신원동,1162065500,16287,8678,4927,1683,1548,136,52,23,152,24,16,8561,117,7609
서울,관악구을,2412,서림동,1162066500,20201,10823,5954,1997,2154,198,73,29,230,37,9,10681,142,9378
서울,관악구을,2412,삼성동,1162074500,21972,13019,6938,2731,2558,219,60,47,171,29,19,12772,247,8953
서울,관악구을,2412,대학동,1162073500,20372,10954,6204,1851,2158,204,69,20,286,38,5,10835,119,9418
서울,구로구갑,2413,고척제1동,1153072000,19657,11621,6035,2979,2040,172,72,22,145,23,8,11496,125,8036
서울,구로구갑,2413,고척제2동,1153073000,23011,13072,6693,3238,2446,190,95,25,175,24,12,12898,174,9939
서울,구로구갑,2413,개봉제1동,1153074000,27421,15420,7799,4019,2836,220,107,29,179,31,14,15234,186,12001
서울,구로구갑,2413,개봉제2동,1153075000,27223,17134,9028,4188,3180,220,59,45,185,36,17,16958,176,10089
서울,구로구갑,2413,개봉제3동,1153076000,17431,9682,5329,2319,1609,122,46,17,101,26,11,9580,102,7749
서울,구로구갑,2413,오류제1동,1153077000,18540,10612,5465,2938,1599,184,45,31,172,35,12,10481,131,7928
서울,구로구갑,2413,오류제2동,1153078000,33242,20152,10538,5212,3343,397,97,42,240,45,20,19934,218,13090
서울,구로구갑,2413,수궁동,1153079000,20107,12452,5804,4224,1837,192,51,27,151,21,11,12318,134,7655
서울,서대문구갑,2414,충현동,1141056500,14457,7618,3843,1860,1454,105,40,31,155,10,4,7502,116,6839
서울,서대문구갑,2414,천연동,1141052000,15029,9387,4811,2122,1901,179,48,13,184,22,0,9280,107,5642
서울,서대문구갑,2414,북아현동,1141055500,14586,8922,4785,1822,1726,175,54,13,212,25,7,8819,103,5664
서울,서대문구갑,2414,신촌동,1141058500,14889,7263,3697,1457,1280,134,80,19,452,29,5,7153,110,7626
서울,서대문구갑,2414,연희동,1141061500,30761,16833,8532,3986,3059,315,74,37,566,40,13,16622,211,13928
서울,서대문구갑,2414,홍제제1동,1141062000,18078,10740,5602,2406,2119,177,55,25,179,25,8,10596,144,7338
서울,서대문구갑,2414,홍제제2동,1141065500,12237,7847,4023,1842,1597,113,36,4,132,19,4,7770,77,4390
서울,은평구갑,2415,녹번동,1138051000,26430,14069,7325,3186,2747,243,80,29,216,40,17,13883,186,12361
서울,은평구갑,2415,응암제1동,1138058000,20061,10906,6052,2277,1998,173,67,22,175,25,4,10793,113,9155
서울,은평구갑,2415,응암제2동,1138059000,15814,8878,4866,1774,1823,143,26,17,114,16,3,8782,96,6936
서울,은평구갑,2415,응암제3동,1138060000,22339,11576,6465,2505,2003,165,53,24,165,27,12,11419,157,10763
서울,은평구갑,2415,역촌동,1138062500,39884,21176,12009,4294,3605,370,109,55,413,48,18,20921,255,18708
서울,은평구갑,2415,신사제1동,1138063100,22625,12593,7194,2516,2213,226,57,28,206,25,11,12476,117,10032
서울,은평구갑,2415,신사제2동,1138063200,17107,9242,4949,1950,1781,179,46,20,177,20,7,9129,113,7865
서울,은평구갑,2415,증산동,1138064000,13463,7726,4057,1817,1430,137,25,23,140,18,3,7650,76,5737
서울,은평구갑,2415,수색동,1138065000,10226,5783,2801,1438,1240,89,17,13,78,12,8,5696,87,4443
