시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당,자유한국당,바른미래당,민주평화당,정의당,민중당,대한애국당,국제녹색당,녹색당,우리미래,친박연대,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,30289,19786,10494,4146,2122,100,2515,50,43,8,118,26,8,19630,156,10503
서울,강서구병,2411,등촌제1동,1150052000,18743,10760,5736,2377,1142,62,1180,39,19,3,81,19,9,10667,93,7983
서울,강서구병,2411,등촌제2동,1150053000,17524,10373,5114,2668,1185,77,1043,35,41,1,84,16,9,10273,100,7151
서울,강서구병,2411,화곡제4동,1150057000,18704,9435,5261,2186,823,75,805,36,31,4,67,23,12,9323,112,9269
서울,강서구병,2411,화곡본동,1150059000,28137,14145,8105,2860,1197,119,1410,88,48,10,111,16,20,13984,161,13992
서울,강서구병,2411,화곡제6동,1150059100,20396,11445,5640,3149,1142,90,1094,45,45,1,70,11,13,11300,145,8951
서울,강서구병,2411,가양제3동,1150060500,14117,8400,4344,2087,834,71,794,30,32,8,45,12,13,8270,130,5717
서울,관악구을,2412,신사동,1162068500,20276,10361,5773,2038,1118,144,953,44,28,9,71,21,16,10215,146,9915
서울,관악구을,2412,조원동,1162072500,15638,8141,4281,1778,1007,112,671,25,31,3,73,18,10,8009,132,7497
서울,관악구을,2412,미성동,1162076500,26677,14937,7695,3583,1801,238,1176,64,52,3,71,24,17,14724,213,11740
서울,관악구을,2412,난곡동,1162077500,23975,12641,6650,2694,1677,186,1016,47,48,5,51,24,18,12416,225,11334
서울,관악구을,2412,난향동,1162071500,12943,7743,4022,1569,988,109,873,34,22,6,22,7,5,7657,86,5200
서울,관악구을,2412,서원동,1162064500,19913,10235,5781,1878,1154,124,934,60,35,5,94,24,10,10099,136,9678
서울,관악구을,2412,신원동,1162065500,16287,8676,4756,1762,1017,102,733,40,33,1,61,19,12,8536,140,7611
서울,관악구을,2412,서림동,1162066500,20201,10816,5586,2149,1413,106,1202,65,39,3,89,23,10,10685,131,9385
서울,관악구을,2412,삼성동,1162074500,21972,13018,6464,2803,1730,178,1390,57,46,11,76,25,27,12807,211,8954
서울,관악구을,2412,대학동,1162073500,20372,10953,5550,1952,1433,114,1526,55,28,7,116,17,18,10816,137,9419
서울,구로구갑,2413,고척제1동,1153072000,19657,11617,5678,3133,1239,106,1111,113,36,1,60,15,9,11501,116,8040
서울,구로구갑,2413,고척제2동,1153073000,23011,13073,6383,3406,1513,108,1204,130,32,12,70,19,19,12896,177,9938
서울,구로구갑,2413,개봉제1동,1153074000,27421,15421,7586,4263,1615,172,1281,136,56,5,76,24,22,15236,185,12000
서울,구로구갑,2413,개봉제2동,1153075000,27223,17133,8775,4528,1819,163,1417,57,54,10,85,24,11,16943,190,10090
서울,구로구갑,2413,개봉제3동,1153076000,17431,9682,5223,2452,964,80,729,20,25,5,39,12,12,9561,121,7749
서울,구로구갑,2413,오류제1동,1153077000,18540,10608,5146,3071,847,86,1091,47,43,3,80,22,16,10452,156,7932
서울,구로구갑,2413,오류제2동,1153078000,33242,20149,9611,5377,1810,161,2593,129,62,8,114,31,33,19929,220,13093
서울,구로구갑,2413,수궁동,1153079000,20107,12444,5412,4293,1032,94,1240,60,40,3,82,13,20,12289,155,7663
서울,서대문구갑,2414,충현동,1141056500,14457,7624,3740,1968,855,76,665,57,37,7,76,14,10,7505,119,6833
서울,서대문구갑,2414,천연동,1141052000,15029,9379,4581,2269,1125,72,1030,49,20,5,92,18,3,9264,115,5650
서울,서대문구갑,2414,북아현동,1141055500,14586,8927,4574,1965,1062,62,946,50,22,10,94,23,13,8821,106,5659
서울,서대문구갑,2414,신촌동,1141058500,14889,7264,3617,1533,893,27,784,66,19,6,172,17,9,7143,121,7625
서울,서대문구갑,2414,연희동,1141061500,30761,16831,8047,4297,1804,102,1879,47,44,9,312,22,26,16589,242,13930
서울,서대문구갑,2414,홍제제1동,1141062000,18078,10737,5327,2613,1209,99,1183,43,33,3,92,17,11,10630,107,7341
서울,서대문구갑,2414,홍제제2동,1141065500,12237,7849,3835,1971,932,62,825,33,13,6,71,9,11,7768,81,4388
서울,은평구갑,2415,녹번동,1138051000,26430,14063,7243,3399,1588,110,1295,52,46,12,122,20,13,13900,163,12367
서울,은평구갑,2415,응암제1동,1138058000,20061,10904,6005,2439,1105,86,981,35,30,8,65,8,14,10776,128,9157
서울,은평구갑,2415,응암제2동,1138059000,15814,8879,4770,1815,1074,55,951,18,26,5,60,6,5,8785,94,6935
서울,은평구갑,2415,응암제3동,1138060000,22339,11570,6318,2720,1121,113,935,36,34,6,71,19,21,11394,176,10769
서울,은평구갑,2415,역촌동,1138062500,39884,21170,11558,4556,1999,177,2201,69,57,12,217,32,26,20904,266,18714
서울,은평구갑,2415,신사제1동,1138063100,22625,12586,6946,2668,1240,98,1298,43,35,7,89,23,12,12459,127,10039
서울,은평구갑,2415,신사제2동,1138063200,17107,9241,4865,1991,1062,78,979,25,22,10,77,12,14,9135,106,7866
서울,은평구갑,2415,증산동,1138064000,13463,7728,3977,1895,802,73,754,18,32,3,68,12,5,7639,89,5735
서울,은평구갑,2415,수색동,1138065000,10226,5784,2764,1521,709,46,556,19,14,3,38,8,6,5684,100,4442
