시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,7097,5001,72,1287,1461,959,21,54,5,451,15,313,4,1,2,23,0,1,81,2,0,2,10,0,0,7,8,9,49,1,5,21,2,1,1,3,0,4871,130,2096
경기,고양시을,2421,삼송동,,17415,11649,193,3336,3706,1687,60,81,13,878,35,680,6,2,3,58,3,10,281,4,2,10,47,1,4,14,15,15,81,0,1,48,7,2,7,3,7,11300,349,5766
경기,고양시을,2421,창릉동,4128158000,15411,10530,181,2754,3525,1558,49,62,12,896,34,643,6,1,5,56,0,3,169,4,2,4,29,0,2,15,22,16,82,0,3,34,7,1,2,2,13,10192,338,4881
경기,고양시을,2421,능곡동,4139064000,13625,8882,165,2442,3157,966,59,77,11,607,33,499,10,4,3,51,2,5,209,3,6,14,9,0,7,19,33,22,83,1,2,39,4,3,3,2,4,8554,328,4743
경기,고양시을,2421,행주동,4128163000,16275,9249,180,2892,2717,1227,80,171,13,477,55,460,12,5,4,67,1,9,291,2,5,8,25,3,7,11,29,20,71,2,7,41,8,3,2,5,4,8914,335,7026
경기,고양시을,2421,행신1동,4128164000,18307,12768,245,3418,4179,1805,52,139,19,878,34,875,9,5,4,65,1,2,272,7,3,9,39,1,5,27,17,23,122,3,9,83,5,0,7,4,7,12373,395,5539
경기,고양시을,2421,행신2동,4128165000,26485,18359,377,4949,6070,2638,125,269,25,1287,50,1167,19,3,3,62,6,5,339,9,3,11,60,3,4,29,30,34,162,2,9,70,8,5,8,6,8,17855,504,8126
경기,고양시을,2421,행신3동,4128165500,36310,24259,447,6573,8012,3614,98,243,35,1664,62,1527,17,5,9,127,7,7,483,14,5,21,62,0,3,27,49,38,204,6,10,99,10,5,10,8,12,23513,746,12051
경기,고양시을,2421,화전동,4128166000,14786,9999,206,2459,3376,1502,50,86,13,853,40,630,10,0,3,64,1,4,175,1,2,7,34,2,10,14,22,18,64,1,4,27,2,0,2,2,5,9689,310,4787
경기,고양시을,2421,대덕동,4128167000,2255,1402,20,521,390,158,12,12,0,90,3,72,1,1,0,7,0,1,36,1,0,0,6,2,0,3,0,2,3,1,2,5,1,2,0,3,0,1355,47,853
경기,부천시을,2422,중동,,32843,20257,427,6222,6838,1870,129,183,22,1426,84,996,18,6,6,106,7,13,604,10,4,12,20,0,11,42,36,34,163,3,5,93,19,1,3,9,13,19435,822,12586
경기,부천시을,2422,신중동,,106583,69594,1372,20312,24843,7175,308,532,68,5267,217,3742,41,13,18,350,18,36,1354,25,16,58,109,5,19,146,143,108,658,8,34,243,28,4,16,25,36,67347,2247,36989
