시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,31260,22969,391,6563,7638,2620,97,176,29,2274,53,1495,14,0,3,122,4,11,322,10,2,14,43,1,4,39,27,25,220,2,9,79,7,3,3,5,14,22319,650,8291
서울,강서구병,2411,등촌제1동,1150052000,18933,12504,274,3361,4267,1380,56,106,12,1135,32,744,8,3,3,78,3,7,179,5,2,8,29,3,5,37,27,24,180,1,5,38,7,1,0,3,11,12034,470,6429
서울,강서구병,2411,등촌제2동,1150053000,17336,11638,289,3820,3542,1070,83,109,14,979,45,669,12,4,7,49,2,6,270,1,0,3,22,2,2,29,23,16,110,1,5,46,5,2,1,3,8,11249,389,5698
서울,강서구병,2411,화곡제4동,1150057000,18044,10784,278,2999,4022,931,77,76,25,668,48,590,5,4,6,72,6,9,254,6,6,7,21,0,11,19,23,24,80,1,7,45,7,2,1,7,10,10347,437,7260
서울,강서구병,2411,화곡본동,1150059000,27880,15753,368,3898,6012,1421,115,246,24,1011,79,923,12,3,3,110,10,12,396,13,5,9,35,1,13,33,52,26,147,5,13,66,15,4,8,9,9,15106,647,12127
서울,강서구병,2411,화곡제6동,1150059100,20978,13422,277,4386,4349,1194,92,125,22,979,43,710,7,0,7,75,2,5,349,3,3,5,17,4,6,33,16,31,118,0,7,57,5,1,5,5,10,12948,474,7556
서울,강서구병,2411,가양제3동,1150060500,13979,9529,219,2842,3235,884,87,74,22,688,59,477,10,2,2,46,2,6,210,2,8,3,19,1,4,14,18,27,70,2,4,34,3,4,5,5,7,9095,434,4450
서울,관악구을,2412,신사동,1162068500,19723,11764,468,3097,4351,935,110,145,12,850,39,579,9,1,4,72,6,5,185,3,2,11,20,1,7,43,26,15,182,1,6,60,3,0,7,8,7,11270,494,7959
서울,관악구을,2412,조원동,1162072500,15147,9292,369,2674,3317,763,52,87,11,646,28,444,2,3,1,84,4,8,165,4,3,7,21,1,1,30,23,21,109,4,10,24,4,4,2,4,5,8935,357,5855
서울,관악구을,2412,미성동,1162076500,26100,16940,554,5355,5900,1326,143,146,34,1103,53,781,12,7,4,81,7,9,317,9,6,10,20,1,7,64,63,49,158,5,7,67,9,7,8,8,10,16340,600,9160
서울,관악구을,2412,난곡동,1162077500,23385,14372,524,4040,5336,1104,150,160,22,836,64,654,16,4,2,91,5,9,298,6,2,15,20,4,7,49,42,34,109,7,13,65,6,7,8,7,13,13729,643,9013
서울,관악구을,2412,난향동,1162071500,12913,8913,258,2527,3316,765,68,101,11,607,27,527,4,0,3,43,2,6,144,2,2,7,14,2,3,20,20,23,62,6,2,39,3,1,4,3,5,8627,286,4000
서울,관악구을,2412,서원동,1162064500,20259,11908,489,3017,4296,1047,70,131,13,906,39,607,8,4,2,85,8,8,231,4,3,27,12,1,6,42,39,32,178,6,8,44,6,4,5,5,12,11395,513,8351
서울,관악구을,2412,신원동,1162065500,15876,9578,341,2597,3466,771,87,90,18,714,38,465,7,1,4,65,3,7,154,0,6,8,25,1,8,27,19,20,115,2,7,36,7,2,3,5,3,9122,456,6298
서울,관악구을,2412,서림동,1162066500,19199,11621,379,3254,3751,1096,80,114,14,1040,47,707,0,2,4,102,4,8,242,5,3,11,28,4,3,36,28,23,139,3,8,44,3,2,4,4,5,11197,424,7578
서울,관악구을,2412,삼성동,1162074500,21321,14348,461,4115,5121,1228,137,162,29,936,74,694,12,3,5,89,4,7,369,5,7,8,18,1,5,34,30,33,100,2,8,68,6,0,6,11,12,13800,548,6973
서울,관악구을,2412,대학동,1162073500,20210,12442,396,3325,4042,1282,79,111,13,1207,42,839,9,1,2,83,1,9,208,4,2,13,36,1,2,40,18,31,135,0,7,60,6,7,0,6,9,12026,416,7768
서울,구로구갑,2413,고척제1동,1153072000,19659,13402,285,4358,4426,1363,92,118,18,946,61,639,10,4,4,62,4,10,245,4,3,5,20,2,4,28,23,25,125,2,5,49,9,2,5,6,6,12968,434,6257
서울,구로구갑,2413,고척제2동,1153073000,22364,14453,310,4675,4883,1364,95,137,24,960,60,733,18,1,2,66,6,8,290,3,3,14,13,2,3,24,22,19,104,2,3,65,6,3,4,4,9,13935,518,7911
서울,구로구갑,2413,개봉제1동,1153074000,26371,16772,397,5496,5674,1486,120,181,29,1047,63,780,25,6,6,81,7,6,387,3,4,6,19,0,3,19,29,33,108,2,9,81,9,7,8,7,14,16152,620,9599
서울,구로구갑,2413,개봉제2동,1153075000,26419,18319,448,5816,6375,1647,159,124,32,1287,80,883,7,2,4,96,4,8,395,8,7,7,24,1,8,24,22,32,146,2,9,72,5,6,5,2,9,17756,563,8100
서울,구로구갑,2413,개봉제3동,1153076000,17736,11586,274,3473,4207,1108,77,85,8,678,66,565,7,5,4,69,5,3,290,6,2,7,6,3,6,17,13,19,77,5,11,34,4,2,2,7,5,11150,436,6150
서울,구로구갑,2413,오류제1동,1153077000,19533,12724,273,3944,4172,1385,95,101,13,791,56,605,9,1,2,67,4,8,416,3,5,13,30,2,6,27,30,15,125,2,5,55,6,2,2,6,2,12278,446,6809
서울,구로구갑,2413,오류제2동,1153078000,30050,20563,404,6247,6752,2416,156,163,16,1264,80,1096,9,3,6,121,3,7,625,5,4,16,30,1,8,36,41,45,164,6,7,98,13,3,9,2,6,19862,701,9487
서울,구로구갑,2413,수궁동,1153079000,19889,13667,247,4768,4185,1328,84,101,25,776,53,577,6,4,0,80,4,3,690,5,6,13,20,1,4,22,21,25,92,0,2,81,6,0,4,4,5,13242,425,6222
서울,구로구갑,2413,항동,1153080000,10408,7862,141,1713,2567,1527,39,169,3,606,18,535,2,2,2,46,2,3,143,3,3,2,17,0,5,9,8,11,62,0,2,41,1,1,1,1,3,7688,174,2546
서울,서대문구갑,2414,충현동,1141056500,13803,8407,207,2670,2626,763,80,115,15,649,36,444,7,3,4,41,5,4,190,4,5,4,23,0,5,21,11,17,76,0,5,31,0,4,2,9,2,8078,329,5396
