시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 김동연,국민의힘 김은혜,정의당 황순식,기본소득당 서태성,진보당 송영주,무소속 강용석,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,12941,6984,3688,3062,101,9,17,57,6934,50,5957
경기,고양시을,2421,삼송1동,4128157600,16346,8551,4331,3979,94,9,17,75,8505,46,7795
경기,고양시을,2421,삼송2동,4128157700,21966,10325,5149,4837,120,11,13,91,10221,104,11641
경기,고양시을,2421,창릉동,4128158000,18572,8993,4541,4219,91,7,15,75,8948,45,9579
경기,고양시을,2421,능곡동,4139064000,12419,6351,2752,3397,56,10,40,52,6307,44,6068
경기,고양시을,2421,행주동,4128163000,15885,6726,2956,3469,53,12,89,58,6637,89,9159
경기,고양시을,2421,행신1동,4128164000,17606,9353,4790,4257,92,16,54,76,9285,68,8253
경기,고양시을,2421,행신2동,4128165000,26405,14174,7263,6319,137,26,164,128,14037,137,12231
경기,고양시을,2421,행신3동,4128165500,19677,11080,5940,4815,111,22,47,75,11010,70,8597
경기,고양시을,2421,행신4동,4128165600,16996,8189,4475,3377,88,19,55,80,8094,95,8807
경기,고양시을,2421,화전동,4128166000,20515,9993,5400,4278,130,11,24,76,9919,74,10522
경기,고양시을,2421,대덕동,4128167000,2249,1054,449,569,11,0,5,8,1042,12,1195
경기,부천시을,2422,중동,,33255,15992,7802,7750,112,19,25,123,15831,161,17263
경기,부천시을,2422,신중동,,104891,51696,25898,24443,376,68,81,410,51276,420,53195
경기,부천시을,2422,상동,,65723,35097,19089,15206,234,37,44,290,34900,197,30626
경기,수원시을,2423,율천동,4111156600,34498,17225,9250,7526,116,34,26,133,17085,140,17273
경기,수원시을,2423,평동,4111355000,32793,14954,7214,7318,74,30,42,142,14820,134,17839
경기,수원시을,2423,서둔동,4111356000,31769,12840,6153,6241,84,36,38,120,12672,168,18929
경기,수원시을,2423,구운동,4111365000,20118,9644,4665,4728,49,15,15,89,9561,83,10474
경기,수원시을,2423,금곡동,4111366200,35335,18579,10017,8040,118,29,63,165,18432,147,16756
경기,수원시을,2423,호매실동,4111366400,33551,15592,8989,6249,95,21,38,121,15513,79,17959
경기,수원시을,2423,입북동,4111370000,12937,6874,3749,2937,36,10,18,72,6822,52,6063
경기,평택시을,2424,팽성읍,4122025000,24734,9676,3577,5731,59,12,27,118,9524,152,15058
경기,평택시을,2424,안중읍,4122025300,33978,13417,6842,6144,106,20,46,131,13289,128,20561
경기,평택시을,2424,포승읍,4122025600,20334,7014,3298,3478,44,10,30,78,6938,76,13320
경기,평택시을,2424,청북읍,4122025900,19504,7337,3676,3462,38,9,18,74,7277,60,12167
경기,평택시을,2424,고덕면,4122033000,10892,4110,1733,2231,25,7,20,34,4050,60,6782
경기,평택시을,2424,오성면,4122034000,5797,2635,950,1571,15,4,11,36,2587,48,3162
경기,평택시을,2424,현덕면,4122037000,5037,2821,1063,1640,23,4,9,34,2773,48,2216
경기,평택시을,2424,고덕동,4122066000,16822,5990,2867,2964,45,6,8,69,5959,31,10832
경기,화성시을,2425,동탄4동,4159058800,35257,19408,10451,8547,109,14,34,175,19330,78,15849
경기,화성시을,2425,동탄6동,4159060000,28668,11925,6151,5488,76,12,12,137,11876,49,16743
경기,화성시을,2425,동탄7동,4159061000,59425,26787,14722,11508,133,19,41,254,26677,110,32638
경기,화성시을,2425,동탄8동,4159062000,23075,10790,6045,4542,65,7,10,77,10746,44,12285
