시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당,국민의힘,정의당,기본소득당,녹색당,진보당,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,12941,6981,3144,3192,475,28,32,32,6903,78,5960
경기,고양시을,2421,삼송1동,4128157600,16346,8551,3760,4013,605,24,27,27,8456,95,7795
경기,고양시을,2421,삼송2동,4128157700,21966,10323,4555,4846,688,34,31,22,10176,147,11643
경기,고양시을,2421,창릉동,4128158000,18572,8992,4042,4193,561,20,27,24,8867,125,9580
경기,고양시을,2421,능곡동,4139064000,12419,6352,2503,3433,291,16,19,35,6297,55,6067
경기,고양시을,2421,행주동,4128163000,15885,6724,2616,3460,287,19,15,76,6473,251,9161
경기,고양시을,2421,행신1동,4128164000,17606,9350,4188,4196,531,24,27,59,9025,325,8256
경기,고양시을,2421,행신2동,4128165000,26405,14169,6326,6285,865,35,49,140,13700,469,12236
경기,고양시을,2421,행신3동,4128165500,19677,11072,5299,4875,631,19,37,57,10918,154,8605
경기,고양시을,2421,행신4동,4128165600,16996,8184,3957,3346,424,28,28,71,7854,330,8812
경기,고양시을,2421,화전동,4128166000,20515,9990,4697,4291,763,21,39,23,9834,156,10525
경기,고양시을,2421,대덕동,4128167000,2249,1056,401,578,46,1,3,4,1033,23,1193
경기,부천시을,2422,중동,,33255,15991,7104,7919,697,33,32,52,15837,154,17264
경기,부천시을,2422,신중동,,104891,51674,23655,24413,2254,91,101,109,50623,1051,53217
경기,부천시을,2422,상동,,65723,35085,17301,15521,1777,77,63,93,34832,253,30638
경기,수원시을,2423,율천동,4111156600,34498,17213,8171,7805,874,66,43,69,17028,185,17285
경기,수원시을,2423,평동,4111355000,32793,14927,6493,7410,523,38,35,94,14593,334,17866
경기,수원시을,2423,서둔동,4111356000,31769,12831,5691,6367,434,31,33,64,12620,211,18938
경기,수원시을,2423,구운동,4111365000,20118,9643,4282,4851,311,17,13,39,9513,130,10475
경기,수원시을,2423,금곡동,4111366200,35335,18560,8876,8011,798,54,48,335,18122,438,16775
경기,수원시을,2423,호매실동,4111366400,33551,15596,8087,6265,692,33,32,192,15301,295,17955
경기,수원시을,2423,입북동,4111370000,12937,6872,3430,3034,279,13,6,45,6807,65,6065
경기,평택시을,2424,팽성읍,4122025000,24734,9672,3392,5867,213,22,14,39,9547,125,15062
경기,평택시을,2424,안중읍,4122025300,33978,13412,6379,6300,472,44,24,74,13293,119,20566
경기,평택시을,2424,포승읍,4122025600,20334,7016,3042,3605,222,12,12,41,6934,82,13318
경기,평택시을,2424,청북읍,4122025900,19504,7334,3473,3533,220,23,10,23,7282,52,12170
경기,평택시을,2424,고덕면,4122033000,10892,4613,1881,2504,140,10,9,24,4568,45,6279
경기,평택시을,2424,오성면,4122034000,5797,2633,896,1584,74,9,10,13,2586,47,3164
경기,평택시을,2424,현덕면,4122037000,5037,2823,995,1673,85,8,7,13,2781,42,2214
경기,평택시을,2424,고덕동,4122066000,16822,5988,2574,3069,250,18,17,20,5948,40,10834
경기,화성시을,2425,동탄4동,4159058800,35257,19398,9405,8757,907,26,25,83,19203,195,15859
경기,화성시을,2425,동탄6동,4159060000,28668,11924,5503,5608,516,15,30,58,11730,194,16744
경기,화성시을,2425,동탄7동,4159061000,59425,26776,13529,11793,1096,40,38,109,26605,171,32649
경기,화성시을,2425,동탄8동,4159062000,23075,10785,5618,4558,464,13,22,42,10717,68,12290
