시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당  허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬,계,무효투표수,기권수
경기,고양시을,2421,효자동,4128156000,10989,8808,4455,3877,329,5,42,2,2,5,6,14,0,1,8738,70,2181
경기,고양시을,2421,삼송1동,4128157600,16277,13239,6540,6086,448,4,56,6,4,3,4,8,1,3,13163,76,3038
경기,고양시을,2421,삼송2동,4128157700,19716,14870,7533,6612,503,6,78,6,0,4,10,11,2,5,14770,100,4846
경기,고양시을,2421,창릉동,4128158000,17660,13957,7117,6238,424,2,73,3,2,2,8,5,0,2,13876,81,3703
경기,고양시을,2421,능곡동,4139064000,18442,14134,7697,5911,312,4,84,2,1,4,7,15,4,1,14042,92,4308
경기,고양시을,2421,행주동,4128163000,14694,10016,4989,4528,257,2,108,5,0,5,9,26,2,1,9932,84,4678
경기,고양시을,2421,행신1동,4128164000,16784,13111,6782,5724,401,11,62,4,3,3,5,16,5,2,13018,93,3673
경기,고양시을,2421,행신2동,4128165000,24985,19728,10155,8610,625,9,92,7,1,5,16,30,5,7,19562,166,5257
경기,고양시을,2421,행신3동,4128165500,19240,15622,8360,6554,486,5,62,6,3,2,15,16,1,4,15514,108,3618
경기,고양시을,2421,행신4동,4128165600,16172,11914,6571,4763,344,8,92,2,1,3,6,16,0,4,11810,104,4258
경기,고양시을,2421,화전동,4128166000,18699,14536,7900,6005,402,11,90,5,4,8,11,18,2,1,14457,79,4163
경기,고양시을,2421,대덕동,4128167000,1999,1495,707,738,30,1,10,0,0,0,3,1,0,0,1490,5,504
경기,부천시을,2422,중동,,"33,254","25,113","12,549","11,513",626,19,152,5,4,5,23,18,5,10,"24,929",184,"8,141"
경기,부천시을,2422,신중동,,"102,278","78,631","39,756","35,771","1,928",48,390,14,14,17,37,55,17,21,"78,068",563,"23,647"
경기,부천시을,2422,상동,,"65,597","52,781","27,545","23,141","1,413",18,215,12,4,13,26,19,5,13,"52,424",357,"12,816"
경기,수원시을,2423,율천동,4111156600,32061,25400,12734,11416,702,19,130,7,3,9,21,13,7,10,25071,329,6661
경기,수원시을,2423,평동,4111355000,31017,22629,11413,10149,563,10,221,5,2,4,20,15,3,8,22413,216,8388
경기,수원시을,2423,서둔동,4111356000,28982,19526,10053,8520,473,10,217,8,3,5,22,20,9,7,19347,179,9456
경기,수원시을,2423,구운동,4111365000,19046,13965,7106,6232,295,6,134,4,8,5,16,12,2,5,13825,140,5081
경기,수원시을,2423,금곡동,4111366200,34055,26533,14220,11230,641,14,137,4,1,6,23,30,0,12,26318,215,7522
경기,수원시을,2423,호매실동,4111366400,32194,24158,13870,9306,615,13,123,4,4,6,11,15,7,8,23982,176,8036
경기,수원시을,2423,입북동,4111370000,12238,9740,5372,3978,204,3,81,2,1,3,9,8,2,7,9670,70,2498
경기,평택시을,2424,팽성읍,4122025000,23756,15437,6656,8150,253,9,195,4,0,4,12,18,5,8,15314,123,8319
경기,평택시을,2424,안중읍,4122025300,31733,21949,11791,9095,571,10,252,5,1,5,22,49,5,6,21812,137,9784
경기,평택시을,2424,포승읍,4122025600,19057,12413,6391,5441,251,3,178,6,3,1,7,29,3,11,12324,89,6644
경기,평택시을,2424,청북읍,4122025900,18636,12947,7212,5212,274,5,140,4,1,1,10,19,4,6,12888,59,5689
경기,평택시을,2424,고덕면,4122033000,10523,7195,3280,3574,169,1,85,1,2,1,8,26,1,1,7149,46,3328
경기,평택시을,2424,오성면,4122034000,6132,4461,1892,2362,105,1,51,2,0,1,8,6,3,1,4432,29,1671
경기,평택시을,2424,현덕면,4122037000,5580,4365,1928,2276,75,3,38,1,0,1,4,7,4,3,4340,25,1215
경기,평택시을,2424,고덕동,4122066000,15326,11036,5408,5090,296,8,129,5,1,1,5,9,0,2,10954,82,4290
경기,화성시을,2425,동탄4동,4159058800,35181,29529,15454,13054,741,1,84,0,1,1,4,25,2,4,29371,158,5652
경기,화성시을,2425,동탄6동,4159060000,26072,19490,9650,9039,506,9,96,0,1,6,3,10,0,1,19321,169,6582
경기,화성시을,2425,동탄7동,4159061000,54776,42054,22408,18084,1048,11,192,5,4,8,13,18,5,4,41800,254,12722
경기,화성시을,2425,동탄8동,4159062000,22183,17650,9747,7166,498,3,85,1,2,4,6,14,2,2,17530,120,4533
