시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당,국민의힘,정의당,기본소득당,녹색당,독도당,진보당,통일한국당,한류연합당,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,"31,807","17,611","7,645","8,921",827,24,32,6,49,5,6,"17,515",96,"14,196"
서울,강서구병,2411,등촌제1동,1150052000,"20,983","9,698","4,191","4,818",534,18,23,2,44,1,3,"9,634",64,"11,285"
서울,강서구병,2411,등촌제2동,1150053000,"16,697","8,504","3,371","4,709",282,17,20,5,28,2,3,"8,437",67,"8,193"
서울,강서구병,2411,화곡제4동,1150057000,"17,703","7,864","3,561","3,939",235,13,17,4,25,2,4,"7,800",64,"9,839"
서울,강서구병,2411,화곡본동,1150059000,"28,304","11,346","5,356","5,251",444,32,27,9,111,7,5,"11,242",104,"16,958"
서울,강서구병,2411,화곡제6동,1150059100,"21,634","10,360","4,285","5,470",388,25,24,4,63,6,8,"10,273",87,"11,274"
서울,강서구병,2411,가양제3동,1150060500,"13,315","7,332","3,071","3,838",263,23,16,4,24,10,2,"7,251",81,"5,983"
서울,관악구을,2412,신사동,1162068500,"20,846","8,698","4,000","4,021",477,19,50,9,15,1,4,"8,596",102,"12,148"
서울,관악구을,2412,조원동,1162072500,"15,972","7,194","3,247","3,459",349,14,25,4,19,1,5,"7,123",71,"8,778"
서울,관악구을,2412,미성동,1162076500,"25,913","12,798","5,470","6,652",472,24,31,7,18,9,5,"12,688",110,"13,115"
서울,관악구을,2412,난곡동,1162077500,"22,708","10,478","4,824","5,033",414,22,35,8,23,10,4,"10,373",105,"12,230"
서울,관악구을,2412,난향동,1162071500,"12,346","6,567","3,003","3,213",260,9,16,3,13,0,4,"6,521",46,"5,779"
서울,관악구을,2412,서원동,1162064500,"20,498","8,454","3,881","3,978",424,22,29,9,15,2,3,"8,363",91,"12,044"
서울,관악구을,2412,신원동,1162065500,"16,244","7,138","3,349","3,345",287,18,26,6,16,7,4,"7,058",80,"9,106"
서울,관악구을,2412,서림동,1162066500,"19,542","8,637","3,635","4,256",526,34,63,5,34,3,4,"8,560",77,"10,905"
서울,관악구을,2412,삼성동,1162074500,"18,289","10,235","4,750","4,758",516,22,31,12,20,4,5,"10,118",117,"8,054"
