시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,"29,526","23,961","11,265","11,632",736,11,86,4,2,3,16,14,3,4,"23,776",185,"5,565"
서울,강서구병,2411,등촌제1동,1150052000,"19,438","14,661","6,866","6,984",534,8,71,4,3,3,2,10,2,6,"14,493",168,"4,777"
서울,강서구병,2411,등촌제2동,1150053000,"16,057","12,221","5,507","6,183",335,7,50,4,2,2,15,11,1,2,"12,119",102,"3,836"
서울,강서구병,2411,화곡제4동,1150057000,"17,063","12,274","6,239","5,457",337,9,102,1,0,3,10,5,5,3,"12,171",103,"4,789"
서울,강서구병,2411,화곡본동,1150059000,"25,837","17,596","9,395","7,214",541,12,163,9,3,9,13,33,5,3,"17,400",196,"8,241"
서울,강서구병,2411,화곡제6동,1150059100,"21,602","16,269","7,667","7,796",490,9,111,2,3,2,17,12,0,6,"16,115",154,"5,333"
서울,강서구병,2411,가양제3동,1150060500,"13,394","10,503","4,927","5,121",254,6,52,4,2,1,10,9,1,0,"10,387",116,"2,891"
서울,관악구을,2412,신사동,1162068500,"18,630","13,038","6,560","5,710",408,13,108,3,1,4,7,15,5,5,"12,839",199,"5,592"
서울,관악구을,2412,조원동,1162072500,"14,833","10,739","5,240","4,889",365,13,85,2,0,3,13,7,1,2,"10,620",119,"4,094"
서울,관악구을,2412,미성동,1162076500,"24,589","18,216","8,883","8,518",489,9,124,5,1,5,12,22,5,6,"18,079",137,"6,373"
서울,관악구을,2412,난곡동,1162077500,"21,373","15,064","7,901","6,359",431,13,146,3,1,6,20,17,5,7,"14,909",155,"6,309"
서울,관악구을,2412,난향동,1162071500,"12,021","9,237","4,797","4,066",219,6,62,2,1,1,10,7,4,2,"9,177",60,"2,784"
서울,관악구을,2412,서원동,1162064500,"18,886","13,035","6,413","5,775",467,18,124,3,2,4,7,11,2,5,"12,831",204,"5,851"
서울,관악구을,2412,신원동,1162065500,"15,558","11,073","5,466","4,950",355,11,104,4,0,2,14,11,3,7,"10,927",146,"4,485"
서울,관악구을,2412,서림동,1162066500,"17,480","12,109","5,739","5,599",428,13,102,3,4,3,5,15,2,1,"11,914",195,"5,371"
서울,관악구을,2412,삼성동,1162074500,"18,187","13,930","7,153","6,145",331,14,101,4,1,6,14,13,7,5,"13,794",136,"4,257"
서울,관악구을,2412,대학동,1162073500,"19,574","13,874","6,601","6,474",424,10,127,13,1,12,10,12,4,5,"13,693",181,"5,700"
서울,구로구갑,2413,고척제1동,1153072000,"18,492","14,463","6,721","7,155",333,7,79,0,2,1,8,19,2,3,"14,330",133,"4,029"
서울,구로구갑,2413,고척제2동,1153073000,"20,421","15,142","7,276","7,218",369,12,97,4,2,8,16,28,2,7,"15,039",103,"5,279"
서울,구로구갑,2413,개봉제1동,1153074000,"26,450","19,781","9,380","9,535",484,12,123,4,3,5,15,24,6,6,"19,597",184,"6,669"
서울,구로구갑,2413,개봉제2동,1153075000,"24,681","19,420","9,065","9,507",536,9,123,3,0,4,17,13,4,5,"19,286",134,"5,261"
서울,구로구갑,2413,개봉제3동,1153076000,"16,511","12,332","6,251","5,572",294,8,71,0,2,2,12,13,2,2,"12,229",103,"4,179"
서울,구로구갑,2413,오류제1동,1153077000,"19,653","14,797","6,986","7,010",480,9,119,4,1,4,9,16,2,2,"14,642",155,"4,856"
서울,구로구갑,2413,오류제2동,1153078000,"27,780","21,159","10,368","9,830",596,15,115,5,1,9,15,18,4,5,"20,981",178,"6,621"
서울,구로구갑,2413,수궁동,1153079000,"18,369","14,083","6,167","7,298",364,10,94,1,1,6,10,9,2,3,"13,965",118,"4,286"
