시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주연합,국민의미래,녹색정의당,새로운미래,개혁신당,자유통일당,조국혁신당,가가국민참여신당,가가호호공명선거대한당,반공정당코리아,가락특권폐지당,공화당,국가혁명당,국민대통합당,금융개혁당,기독당,기후민생당,내일로미래로,노동당,노인복지당,대중민주당,대한국민당,대한민국당,대한상공인당,미래당,새누리당,소나무당,신한반도당,여성의당,우리공화당,자유민주당,케이정치혁신연합당,통일한국당,한국농어민당,한나라당,한류연합당,홍익당,히시태그국민정책당,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,"30,611","21,839","5,331","7,172",701,491,882,371,"5,604",6,24,3,2,9,39,7,17,16,7,10,6,8,1,3,4,2,5,29,92,1,25,22,12,2,5,4,33,2,9,12,"20,969",870,"8,772"
서울,강서구병,2411,등촌제1동,1150052000,"20,521","12,942","3,855","4,024",404,347,527,284,"2,699",4,12,2,0,3,37,8,9,6,3,5,5,3,1,1,7,0,4,13,52,1,18,8,14,1,7,4,15,1,1,9,"12,394",548,"7,579"
서울,강서구병,2411,등촌제2동,1150053000,"15,836","10,662","2,563","3,797",277,199,368,309,"2,458",2,13,0,2,5,12,2,8,15,2,1,5,6,0,4,2,1,2,8,55,0,15,20,11,1,4,1,16,2,1,10,"10,197",465,"5,174"
서울,강서구병,2411,화곡제4동,1150057000,"16,540","10,045","3,130","3,118",224,149,239,327,"2,101",3,9,1,0,6,17,13,6,7,1,6,2,3,2,5,3,3,5,16,46,0,10,5,7,0,2,4,19,1,2,7,"9,499",546,"6,495"
서울,강서구병,2411,화곡본동,1150059000,"26,099","14,389","4,774","4,111",376,307,365,393,"2,950",2,9,4,8,6,39,5,7,19,3,4,13,9,4,4,3,0,7,23,66,0,12,16,7,2,3,1,19,1,4,11,"13,587",802,"11,710"
서울,강서구병,2411,화곡제6동,1150059100,"22,012","13,840","3,978","4,566",315,276,469,353,"2,869",2,14,2,2,1,25,5,11,15,3,2,3,7,3,1,2,2,5,27,78,0,13,20,12,1,5,2,22,0,3,10,"13,124",716,"8,172"
서울,강서구병,2411,가양제3동,1150060500,"12,436","8,675","2,312","3,022",222,205,275,310,"1,637",2,20,2,0,8,20,5,7,7,0,2,4,7,1,3,3,3,4,13,54,0,11,13,5,0,1,2,16,1,5,6,"8,208",467,"3,761"
서울,관악구을,2412,신사동,1162068500,"19,550","11,279","3,705","3,369",307,226,391,217,"2,100",3,5,1,1,6,36,13,10,16,5,3,9,4,1,3,4,1,5,24,63,0,24,14,21,2,3,1,22,1,6,13,"10,635",644,"8,271"
서울,관악구을,2412,조원동,1162072500,"16,915","10,204","3,127","3,100",262,209,420,253,"2,074",1,13,4,1,2,26,2,6,12,0,1,5,2,1,1,2,2,3,20,48,1,15,15,10,3,5,2,17,3,4,10,"9,682",522,"6,711"
서울,관악구을,2412,미성동,1162076500,"24,658","15,727","4,465","5,385",313,324,483,441,"3,218",7,16,3,4,3,25,14,12,26,3,4,11,5,5,2,5,1,7,41,74,0,18,20,20,2,3,1,37,2,4,9,"15,013",714,"8,931"
