시/도,지역구,지역구코드,행정동,행정동코드,선거인수,투표수,더불어민주당 이재명,국민의힘 김문수,개혁신당 이준석,민주노동당 권영국,무소속 송진호,계,무효투표수,기권수
서울,강서구병,2411,염창동,1150051000,"29,083","23,915","11,379","9,617","2,418",339,16,"23,769",146,"5,168"
서울,강서구병,2411,등촌제1동,1150052000,"20,100","15,773","7,318","6,107","1,938",218,14,"15,595",178,"4,327"
서울,강서구병,2411,등촌제2동,1150053000,"15,295","12,009","5,392","5,300","1,067",160,12,"11,931",78,"3,286"
서울,강서구병,2411,화곡제4동,1150057000,"15,760","11,592","5,994","4,519",833,124,18,"11,488",104,"4,168"
서울,강서구병,2411,화곡본동,1150059000,"24,383","17,215","8,838","6,421","1,555",213,22,"17,049",166,"7,168"
서울,강서구병,2411,화곡제6동,1150059100,"21,274","16,435","7,846","6,627","1,614",185,13,"16,285",150,"4,839"
서울,강서구병,2411,가양제3동,1150060500,"12,381","9,903","4,714","4,127",864,103,10,"9,818",85,"2,478"
서울,관악구을,2412,신사동,1162068500,"18,733","13,665","6,525","5,096","1,671",185,26,"13,503",162,"5,068"
서울,관악구을,2412,조원동,1162072500,"16,251","12,210","5,687","4,721","1,487",161,14,"12,070",140,"4,041"
서울,관악구을,2412,미성동,1162076500,"23,321","17,840","8,656","7,406","1,443",194,18,"17,717",123,"5,481"
서울,관악구을,2412,난곡동,1162077500,"19,438","14,091","7,172","5,560","1,079",148,27,"13,986",105,"5,347"
서울,관악구을,2412,난향동,1162071500,"11,136","8,646","4,504","3,409",591,88,5,"8,597",49,"2,490"
서울,관악구을,2412,서원동,1162064500,"18,766","13,197","5,871","5,178","1,771",201,18,"13,039",158,"5,569"
서울,관악구을,2412,신원동,1162065500,"15,442","11,370","5,385","4,292","1,402",155,13,"11,247",123,"4,072"
서울,관악구을,2412,서림동,1162066500,"17,244","11,950","5,097","5,114","1,431",182,11,"11,835",115,"5,294"
서울,관악구을,2412,삼성동,1162074500,"16,294","12,746","6,526","5,087",892,154,11,"12,670",76,"3,548"
서울,관악구을,2412,대학동,1162073500,"22,143","16,191","7,387","5,731","2,546",339,18,"16,021",170,"5,952"
서울,구로구갑,2413,고척제1동,1153072000,"21,310","17,190","8,197","6,981","1,708",168,10,"17,064",126,"4,120"
서울,구로구갑,2413,고척제2동,1153073000,"19,277","14,777","7,050","6,388","1,067",171,9,"14,685",92,"4,500"
서울,구로구갑,2413,개봉제1동,1153074000,"25,802","19,877","9,488","8,523","1,506",208,19,"19,744",133,"5,925"
서울,구로구갑,2413,개봉제2동,1153075000,"23,750","19,436","9,259","8,309","1,522",208,17,"19,315",121,"4,314"
서울,구로구갑,2413,개봉제3동,1153076000,"14,863","11,347","5,552","4,801",803,108,14,"11,278",69,"3,516"
서울,구로구갑,2413,오류제1동,1153077000,"19,652","15,230","7,227","6,270","1,369",201,13,"15,080",150,"4,422"
서울,구로구갑,2413,오류제2동,1153078000,"25,972","20,436","9,717","8,906","1,407",247,18,"20,295",141,"5,536"
서울,구로구갑,2413,수궁동,1153079000,"17,361","13,778","5,886","6,773",853,149,21,"13,682",96,"3,583"
서울,구로구갑,2413,항동,1153080000,"11,094","9,263","4,978","3,337",737,139,7,"9,198",65,"1,831"
서울,서대문구갑,2414,충현동,1141056500,"13,752","10,212","4,477","4,549",964,142,8,"10,140",72,"3,540"
서울,서대문구갑,2414,천연동,1141052000,"12,987","10,449","4,931","4,375",877,180,6,"10,369",80,"2,538"
서울,서대문구갑,2414,북아현동,1141055500,"12,523","9,973","4,650","4,104",995,154,4,"9,907",66,"2,550"
서울,서대문구갑,2414,신촌동,1141058500,"16,204","11,738","4,868","4,577","1,839",295,6,"11,585",153,"4,466"
서울,서대문구갑,2414,연희동,1141061500,"24,988","18,388","7,843","7,984","1,922",429,21,"18,199",189,"6,600"
서울,서대문구갑,2414,홍제제1동,1141062000,"17,594","13,637","6,250","5,942","1,130",229,11,"13,562",75,"3,957"
서울,서대문구갑,2414,홍제제2동,1141065500,"11,019","9,148","4,533","3,660",765,123,5,"9,086",62,"1,871"
서울,은평구갑,2415,녹번동,1138051000,"27,338","20,498","10,044","8,288","1,691",284,17,"20,324",174,"6,840"
서울,은평구갑,2415,응암제1동,1138058000,"24,138","18,614","9,394","7,198","1,568",268,16,"18,444",170,"5,524"
서울,은평구갑,2415,응암제2동,1138059000,"18,242","14,077","7,020","5,598","1,154",217,11,"14,000",77,"4,165"
서울,은평구갑,2415,응암제3동,1138060000,"20,783","15,484","8,403","5,664","1,089",197,18,"15,371",113,"5,299"
서울,은평구갑,2415,역촌동,1138062500,"35,659","26,614","14,189","9,786","2,020",412,18,"26,425",189,"9,045"
서울,은평구갑,2415,신사제1동,1138063100,"22,211","17,390","9,335","6,377","1,292",242,22,"17,268",122,"4,821"
서울,은평구갑,2415,신사제2동,1138063200,"13,474","9,850","4,804","4,094",719,153,12,"9,782",68,"3,624"
서울,은평구갑,2415,증산동,1138064000,"12,128","9,698","4,815","3,850",824,140,3,"9,632",66,"2,430"
서울,은평구갑,2415,수색동,1138065000,"16,006","13,002","6,208","5,225","1,288",173,13,"12,907",95,"3,004"
