시/도,지역구,지역구코드,행정동,행정동코드,전체 유권자,청년층(18~39세),중년층(40~59세),고령층(65세 이상),청년 남성,청년 여성,2030 1인가구,유동인구,20대 남성,20대 여성,30대 남성,30대 여성,40대 남성,40대 여성,50대 남성,50대 여성,60대 남성,60대 여성,70대 이상 남성,70대 이상 여성
서울,강서구병,2411,염창동,1150051000,"34,487","13,270","13,251","5,500","6,038","7,232","3,110",391,2617,3216,3421,"4,016",3427,"3,635",3049,"3,140",2196,"2,433","1,528","1,809"
서울,강서구병,2411,등촌제1동,1150052000,"22,913","11,469","6,543","3,568","5,036","6,433","5,563",338,1855,2689,3181,"3,744",1804,"1,703",1455,"1,581",1193,"1,371",962,"1,375"
서울,강서구병,2411,등촌제2동,1150053000,"17,158","6,171","5,537","3,892","3,087","3,084","1,586",242,1415,1405,1672,"1,679",1300,"1,326",1359,"1,552",1371,"1,629","1,109","1,341"
서울,강서구병,2411,화곡제4동,1150057000,"17,494","5,215","6,035","4,590","2,729","2,486","1,289",280,1250,1235,1479,"1,251",1494,"1,355",1504,"1,682",1458,"1,787","1,258","1,741"
서울,강서구병,2411,화곡본동,1150059000,"29,146","11,367","9,558","5,962","5,627","5,740","4,516",610,2546,2921,3081,"2,819",2427,"2,331",2359,"2,441",2005,"2,434","1,562","2,220"
서울,강서구병,2411,화곡제6동,1150059100,"23,152","9,331","7,067","4,863","4,274","5,057","3,869",320,1789,2478,2485,"2,579",1836,"1,657",1739,"1,835",1729,"2,011","1,353","1,661"
서울,강서구병,2411,가양제3동,1150060500,"12,681","4,040","3,362","4,138","1,926","2,114",943,381,545,630,1381,"1,484",893,791,829,849,1076,"1,411","1,054","1,738"
서울,관악구을,2412,신사동,1162068500,"21,012","10,476","5,237","3,929","5,258","5,218","6,906",401,2730,3292,2528,"1,926",1260,"1,092",1451,"1,434",1267,"1,346","1,190","1,496"
서울,관악구을,2412,조원동,1162072500,"18,419","9,056","4,675","3,449","4,372","4,684","5,302",301,1941,2523,2431,"2,161",1296,"1,069",1209,"1,101",1185,"1,239","1,046","1,218"
서울,관악구을,2412,미성동,1162076500,"26,033","8,453","8,368","6,857","4,269","4,184","2,699",597,2093,2232,2176,"1,952",1914,"1,804",2280,"2,370",2188,"2,520","2,007","2,497"
서울,관악구을,2412,난곡동,1162077500,"22,533","6,912","7,116","6,210","3,611","3,301","2,060",585,1673,1693,1938,"1,608",1599,"1,351",2104,"2,062",2074,"2,260","1,810","2,361"
서울,관악구을,2412,난향동,1162071500,"12,664","3,300","5,026","3,208","1,690","1,610",331,227,916,853,774,757,1115,"1,177",1401,"1,333",1046,"1,158",909,"1,225"
서울,관악구을,2412,서원동,1162064500,"22,085","11,820","5,236","3,748","6,528","5,292","7,804",383,3160,3205,3368,"2,087",1494,"1,105",1311,"1,326",1153,"1,340","1,124","1,412"
서울,관악구을,2412,신원동,1162065500,"16,536","7,604","4,234","3,586","4,163","3,441","4,727",442,1996,1990,2167,"1,451",1071,906,1187,"1,070",1049,"1,154","1,013","1,482"
서울,관악구을,2412,서림동,1162066500,"22,273","10,739","5,989","4,120","6,289","4,450","7,030",449,3175,2580,3114,"1,870",1811,"1,176",1681,"1,321",1408,"1,361","1,227","1,549"
서울,관악구을,2412,삼성동,1162074500,"18,601","4,489","5,970","6,196","2,394","2,095",731,1099,1118,1077,1276,"1,018",1287,"1,102",1839,"1,742",1863,"2,101","1,784","2,394"
서울,관악구을,2412,대학동,1162073500,"23,760","12,214","6,599","3,558","7,731","4,483","9,141",576,4148,2781,3583,"1,702",2207,"1,016",2215,"1,161",1449,"1,145","1,080","1,273"
서울,구로구갑,2413,고척제1동,1153072000,"23,210","8,602","7,528","5,264","4,379","4,223","1,579",377,1772,1694,2607,"2,529",1877,"1,747",1951,"1,953",1739,"1,892","1,545","1,904"
서울,구로구갑,2413,고척제2동,1153073000,"22,467","6,233","7,843","6,232","3,199","3,034",902,504,1617,1581,1582,"1,453",1594,"1,661",2281,"2,307",2099,"2,156","1,791","2,345"
서울,구로구갑,2413,개봉제1동,1153074000,"29,711","9,268","9,874","7,711","4,666","4,602","1,453",409,2012,2021,2654,"2,581",2375,"2,176",2658,"2,665",2699,"2,834","2,244","2,792"
서울,구로구갑,2413,개봉제2동,1153075000,"26,501","7,794","8,699","7,656","3,760","4,034","1,237",871,1756,2021,2004,"2,013",2096,"2,007",2231,"2,365",2201,"2,719","2,325","2,763"
서울,구로구갑,2413,개봉제3동,1153076000,"17,317","4,643","5,893","5,060","2,434","2,209",586,455,1143,1074,1291,"1,135",1311,"1,295",1612,"1,675",1521,"1,939","1,465","1,856"
서울,구로구갑,2413,오류제1동,1153077000,"20,965","8,801","5,973","4,688","3,966","4,835","4,210",237,1661,2515,2305,"2,320",1560,"1,381",1539,"1,493",1459,"1,560","1,402","1,770"
서울,구로구갑,2413,오류제2동,1153078000,"31,029","8,744","11,304","8,381","4,347","4,397","1,708",644,2240,2209,2107,"2,188",2527,"2,793",2903,"3,081",2374,"2,901","2,398","3,308"
서울,구로구갑,2413,수궁동,1153079000,"19,833","5,563","6,814","5,466","2,914","2,649",860,487,1513,1302,1401,"1,347",1538,"1,576",1804,"1,896",1843,"2,104","1,527","1,982"
서울,구로구갑,2413,항동,1153080000,"12,506","4,074","5,314","2,230","1,869","2,205",686,266,740,764,1129,"1,441",1755,"1,641",914,"1,004",767,963,632,756
서울,서대문구갑,2414,충현동,1141056500,"17,417","6,367","5,775","3,814","3,009","3,358","2,379",292,1344,1652,1665,"1,706",1376,"1,374",1489,"1,536",1369,"1,445","1,056","1,405"
서울,서대문구갑,2414,천연동,1141052000,"14,548","4,510","5,113","3,584","2,171","2,339",795,199,1015,1107,1156,"1,232",1094,"1,181",1386,"1,452",1201,"1,254",953,"1,517"
