region,code,election,label,votes,prop
서울 강서구병,2411,2016_na_pro,민주,23064,27.21704959818742
서울 관악구을,2412,2016_na_pro,민주,29212,25.898081492251496
서울 구로구갑,2413,2016_na_pro,민주,30844,27.08679119354357
서울 서대문구갑,2414,2016_na_pro,민주,19402,27.44310386
서울 은평구갑,2415,2016_na_pro,민주,29881,28.296401515151516
서울 강서구병,2411,2016_na_pro,보수,24056,28.38767538735677
서울 관악구을,2412,2016_na_pro,보수,33224,29.45494521082308
서울 구로구갑,2413,2016_na_pro,보수,34741,30.50908484161903
서울 서대문구갑,2414,2016_na_pro,보수,21825,30.87030933959462
서울 은평구갑,2415,2016_na_pro,보수,31264,29.60606060606061
서울 강서구병,2411,2016_na_pro,진보,9383,11.072562278000024
서울 관악구을,2412,2016_na_pro,진보,12094,10.722011418844641
서울 구로구갑,2413,2016_na_pro,진보,11486,10.086852666613975
서울 서대문구갑,2414,2016_na_pro,진보,9118,12.896929235208418
서울 은평구갑,2415,2016_na_pro,진보,11606,10.990530303030303
서울 강서구병,2411,2016_na_pro,기타,28238,33.32271273645579
서울 관악구을,2412,2016_na_pro,기타,38266,33.92496187808079
서울 구로구갑,2413,2016_na_pro,기타,36800,32.317271298223424
서울 서대문구갑,2414,2016_na_pro,기타,20354,28.78965756234176
서울 은평구갑,2415,2016_na_pro,기타,32849,31.107007575757578
서울 강서구병,2411,2017_president,민주,48491,44.35531081921628
서울 관악구을,2412,2017_president,민주,60646,43.51095199
서울 구로구갑,2413,2017_president,민주,56908,40.88658979056651
서울 서대문구갑,2414,2017_president,민주,36774,43.34716393983686
서울 은평구갑,2415,2017_president,민주,59552,43.77342957529071
서울 강서구병,2411,2017_president,보수,29296,26.797409534960302
서울 관악구을,2412,2017_president,보수,36331,26.065963079616306
서울 구로구갑,2413,2017_president,보수,42320,30.405575313431765
서울 서대문구갑,2414,2017_president,보수,23974,28.25922957235136
서울 은평구갑,2415,2017_president,보수,35213,25.883157167428667
서울 강서구병,2411,2017_president,진보,7155,6.544766016611174
서울 관악구을,2412,2017_president,진보,9367,6.720428178876604
서울 구로구갑,2413,2017_president,진보,8472,6.086862808492294
서울 서대문구갑,2414,2017_president,진보,6022,7.098401621952945
서울 은평구갑,2415,2017_president,진보,8897,6.539699807
서울 강서구병,2411,2017_president,기타,24382,22.30251362921225
서울 관악구을,2412,2017_president,기타,33037,23.702656746615393
서울 구로구갑,2413,2017_president,기타,31485,22.62097208750943
서울 서대문구갑,2414,2017_president,기타,18066,21.29520486585883
서울 은평구갑,2415,2017_president,기타,32384,23.803713449862546
서울 강서구병,2411,2018_loc_gov,민주,46716,55.913824057450626
서울 관악구을,2412,2018_loc_gov,민주,59427,56.02885023334747
서울 구로구갑,2413,2018_loc_gov,민주,56691,52.05832927758749
서울 서대문구갑,2414,2018_loc_gov,민주,35293,52.09914085796109
서울 은평구갑,2415,2018_loc_gov,민주,55718,55.30377472729258
서울 강서구병,2411,2018_loc_gov,보수,18251,21.844404548174744
서울 관악구을,2412,2018_loc_gov,보수,21282,20.065054447744306
서울 구로구갑,2413,2018_loc_gov,보수,29117,26.737619261884866
서울 서대문구갑,2414,2018_loc_gov,보수,15495,22.873549644238434
서울 은평구갑,2415,2018_loc_gov,보수,21757,21.595251565772365
서울 강서구병,2411,2018_loc_gov,진보,3288,3.9353680430879714
서울 관악구을,2412,2018_loc_gov,진보,4255,4.011690944
서울 구로구갑,2413,2018_loc_gov,진보,3617,3.3214262757233772
서울 서대문구갑,2414,2018_loc_gov,진보,3465,5.1149951285760675
서울 은평구갑,2415,2018_loc_gov,진보,3889,3.860087941319517
서울 강서구병,2411,2018_loc_gov,기타,15295,18.306403351286654
서울 관악구을,2412,2018_loc_gov,기타,21101,19.894404374675904
서울 구로구갑,2413,2018_loc_gov,기타,19474,17.88262518480427
서울 서대문구갑,2414,2018_loc_gov,기타,13489,19.91231436922441
서울 은평구갑,2415,2018_loc_gov,기타,19385,19.24088576561554
서울 강서구병,2411,2018_loc_pro,민주,45288,54.27157357364555
서울 관악구을,2412,2018_loc_pro,민주,57971,54.70820279
서울 구로구갑,2413,2018_loc_pro,민주,54784,50.34970176551141
서울 서대문구갑,2414,2018_loc_pro,민주,34221,50.533077377436506
서울 은평구갑,2415,2018_loc_pro,민주,55282,54.91080297190989
서울 강서구병,2411,2018_loc_pro,보수,19473,23.33577000970676
서울 관악구을,2412,2018_loc_pro,보수,22206,20.95617379487373
서울 구로구갑,2413,2018_loc_pro,보수,30523,28.052423097778632
서울 서대문구갑,2414,2018_loc_pro,보수,16616,24.53632604843473
서울 은평구갑,2415,2018_loc_pro,보수,23004,22.849537129007906
서울 강서구병,2411,2018_loc_pro,진보,9740,11.672079283856819
서울 관악구을,2412,2018_loc_pro,진보,11689,11.03110490355215
서울 구로구갑,2413,2018_loc_pro,진보,11964,10.995616090876506
서울 서대문구갑,2414,2018_loc_pro,진보,8566,12.649143532191376
서울 은평구갑,2415,2018_loc_pro,진보,11072,10.99765584647781
서울 강서구병,2411,2018_loc_pro,기타,8946,10.720577132790874
서울 관악구을,2412,2018_loc_pro,기타,14098,13.304518515722322
서울 구로구갑,2413,2018_loc_pro,기타,11536,10.602259045833447
서울 서대문구갑,2414,2018_loc_pro,기타,8317,12.28145304193739
서울 은평구갑,2415,2018_loc_pro,기타,11318,11.242004052604395
서울 강서구병,2411,2020_na_pro,민주,38673,41.54009753163333
서울 관악구을,2412,2020_na_pro,민주,49193,42.24714662361196
서울 구로구갑,2413,2020_na_pro,민주,49654,39.71335108892994
서울 서대문구갑,2414,2020_na_pro,민주,28192,37.81217307331205
서울 은평구갑,2415,2020_na_pro,민주,51147,44.181747505722804
서울 강서구병,2411,2020_na_pro,보수,28476,30.58712324647146
서울 관악구을,2412,2020_na_pro,보수,34977,30.038388540119033
서울 구로구갑,2413,2020_na_pro,보수,41407,33.11738688805176
서울 서대문구갑,2414,2020_na_pro,보수,24767,33.21843397086832
서울 은평구갑,2415,2020_na_pro,보수,33905,29.287781281043497
서울 강서구병,2411,2020_na_pro,진보,10647,11.436335904101055
서울 관악구을,2412,2020_na_pro,진보,11895,10.215473931003684
서울 구로구갑,2413,2020_na_pro,진보,15065,12.049011845062424
서울 서대문구갑,2414,2020_na_pro,진보,8878,11.90750824861182
서울 은평구갑,2415,2020_na_pro,진보,12511,10.807238802746944
서울 강서구병,2411,2020_na_pro,기타,15302,16.436443317794154
서울 관악구을,2412,2020_na_pro,기타,20376,17.498990905265327
서울 구로구갑,2413,2020_na_pro,기타,18905,15.120250177955866
서울 서대문구갑,2414,2020_na_pro,기타,12721,17.06188470720781
서울 은평구갑,2415,2020_na_pro,기타,18202,15.723232410486762
서울 강서구병,2411,2022_loc_gov,민주,29899,41.44579983365678
서울 관악구을,2412,2022_loc_gov,민주,38496,43.51403897454447
서울 구로구갑,2413,2022_loc_gov,민주,40830,40.96682920955993
서울 서대문구갑,2414,2022_loc_gov,민주,23544,39.717939201727454
서울 은평구갑,2415,2022_loc_gov,민주,41763,44.12314714054791
서울 강서구병,2411,2022_loc_gov,보수,40954,56.77016911560854
서울 관악구을,2412,2022_loc_gov,보수,48115,54.386896957091835
서울 구로구갑,2413,2022_loc_gov,보수,57120,57.311420143278546
서울 서대문구갑,2414,2022_loc_gov,보수,34280,57.82921151185938
서울 은평구갑,2415,2022_loc_gov,보수,51105,53.99309041
서울 강서구병,2411,2022_loc_gov,진보,1153,1.598281120044358
서울 관악구을,2412,2022_loc_gov,진보,1651,1.8662115115069857
서울 구로구갑,2413,2022_loc_gov,진보,1508,1.5130535990207292
서울 서대문구갑,2414,2022_loc_gov,진보,1338,2.2571611727791088
서울 은평구갑,2415,2022_loc_gov,진보,1568,1.6566121858194842
서울 강서구병,2411,2022_loc_gov,기타,134,0.1857499306903244
서울 관악구을,2412,2022_loc_gov,기타,206,0.23285255685671657
서울 구로구갑,2413,2022_loc_gov,기타,208,0.20869704814079024
서울 서대문구갑,2414,2022_loc_gov,기타,116,0.19568811363406322
서울 은평구갑,2415,2022_loc_gov,기타,215,0.22715026782601347
서울 강서구병,2411,2022_loc_pro,민주,31480,43.630114203348484
서울 관악구을,2412,2022_loc_pro,민주,40098,45.24967556282796
서울 구로구갑,2413,2022_loc_pro,민주,42163,42.21576971214018
서울 서대문구갑,2414,2022_loc_pro,민주,24088,40.642505230478505
서울 은평구갑,2415,2022_loc_pro,민주,43625,46.058744034798764
서울 강서구병,2411,2022_loc_pro,보수,36946,51.20578778135049
서울 관악구을,2412,2022_loc_pro,보수,43225,48.77842351746318
서울 구로구갑,2413,2022_loc_pro,보수,51925,51.989987484355446
서울 서대문구갑,2414,2022_loc_pro,보수,31081,52.441452385773104
서울 은평구갑,2415,2022_loc_pro,보수,46235,48.81435026817011
서울 강서구병,2411,2022_loc_pro,진보,3628,5.028273644528218
서울 관악구을,2412,2022_loc_pro,진보,5134,5.793601534728884
서울 구로구갑,2413,2022_loc_pro,진보,5617,5.624030037546934
서울 서대문구갑,2414,2022_loc_pro,진보,4003,6.754066275224405
서울 은평구갑,2415,2022_loc_pro,진보,4711,4.973816461843828
서울 강서구병,2411,2022_loc_pro,기타,98,0.13582437077281295
서울 관악구을,2412,2022_loc_pro,기타,158,0.17829938497996953
서울 구로구갑,2413,2022_loc_pro,기타,170,0.1702127659574468
서울 서대문구갑,2414,2022_loc_pro,기타,96,0.1619761085239927
서울 은평구갑,2415,2022_loc_pro,기타,145,0.15308923518729678
서울 강서구병,2411,2022_president,민주,51866,48.718309991452266
서울 관악구을,2412,2022_president,민주,64753,50.280704751403526
서울 구로구갑,2413,2022_president,민주,67138,48.150034066052285
서울 서대문구갑,2414,2022_president,민주,37192,45.46476945
서울 은평구갑,2415,2022_president,민주,70964,51.122381350315536
서울 강서구병,2411,2022_president,보수,50470,47.40703168296371
서울 관악구을,2412,2022_president,보수,58597,45.500570727502854
서울 구로구갑,2413,2022_president,보수,67193,48.18947896869509
서울 서대문구갑,2414,2022_president,보수,41071,50.20659136472544
서울 은평구갑,2415,2022_president,보수,62541,45.05446215024638
서울 강서구병,2411,2022_president,진보,3411,3.203990194
서울 관악구을,2412,2022_president,진보,4209,3.268288516341442
서울 구로구갑,2413,2022_president,진보,4115,2.951195897730125
서울 서대문구갑,2414,2022_president,진보,3083,3.768764363600802
서울 은평구갑,2415,2022_president,진보,4384,3.158228395239605
서울 강서구병,2411,2022_president,기타,714,0.670668132
서울 관악구을,2412,2022_president,기타,1224,0.950436005
서울 구로구갑,2413,2022_president,기타,989,0.7092910675225016
서울 서대문구갑,2414,2022_president,기타,458,0.5598748227470539
서울 은평구갑,2415,2022_president,기타,923,0.6649281041984842
서울 강서구병,2411,2024_na_pro,민주,46261,52.58246379776762
서울 관악구을,2412,2024_na_pro,민주,56427,52.78385811303811
서울 구로구갑,2413,2024_na_pro,민주,62054,50.329697068007626
서울 서대문구갑,2414,2024_na_pro,민주,34129,47.87347454060878
서울 은평구갑,2415,2024_na_pro,민주,66420,53.95657153998001
서울 강서구병,2411,2024_na_pro,보수,35386,40.22141899111141
서울 관악구을,2412,2024_na_pro,보수,42481,39.73826495294756
